Neuron1,Neuron2,Type1,Type2,IndexSending,IndexReceiving
RMGL,DD04,flp-21,npr-1,179,236
RMGL,DD05,flp-21,npr-1,179,255
RMGL,DD06,flp-21,npr-1,179,270
RMGR,DD01,flp-21,npr-1,180,185
RMGR,DD02,flp-21,npr-1,180,202
RMGR,DD03,flp-21,npr-1,180,215
RMGR,DD04,flp-21,npr-1,180,236
RMGR,DD05,flp-21,npr-1,180,255
RMGR,DD06,flp-21,npr-1,180,270
RMGL,IL2L,flp-21,npr-1,179,26
RMGR,IL2L,flp-21,npr-1,180,26
RMGL,IL2R,flp-21,npr-1,179,33
RMGR,IL2R,flp-21,npr-1,180,33
RMGL,M3L,flp-21,npr-1,179,6
RMGL,M3R,flp-21,npr-1,179,7
RMGR,M3L,flp-21,npr-1,180,6
RMGR,M3R,flp-21,npr-1,180,7
RMGL,OLQDL,flp-21,npr-1,179,36
RMGL,OLQDR,flp-21,npr-1,179,43
RMGL,OLQVL,flp-21,npr-1,179,44
RMGL,OLQVR,flp-21,npr-1,179,54
RMGR,OLQDL,flp-21,npr-1,180,36
RMGR,OLQDR,flp-21,npr-1,180,43
RMGR,OLQVL,flp-21,npr-1,180,44
RMGR,OLQVR,flp-21,npr-1,180,54
RMGL,PHAL,flp-21,npr-1,179,279
RMGL,PHAR,flp-21,npr-1,179,285
RMGR,PHAL,flp-21,npr-1,180,279
RMGR,PHAR,flp-21,npr-1,180,285
RMGL,PHBL,flp-21,npr-1,179,286
RMGL,PHBR,flp-21,npr-1,179,287
RMGR,PHBL,flp-21,npr-1,180,286
RMGR,PHBR,flp-21,npr-1,180,287
RMGL,PQR,flp-21,npr-1,179,289
RMGR,PQR,flp-21,npr-1,180,289
RMGL,RIGL,flp-21,npr-1,179,181
RMGL,RIGR,flp-21,npr-1,179,178
RMGR,RIGL,flp-21,npr-1,180,181
RMGR,RIGR,flp-21,npr-1,180,178
RMGL,RIVL,flp-21,npr-1,179,100
RMGL,RIVR,flp-21,npr-1,179,125
RMGR,RIVL,flp-21,npr-1,180,100
RMGR,RIVR,flp-21,npr-1,180,125
RMGL,RMGL,flp-21,npr-1,179,179
RMGL,RMGR,flp-21,npr-1,179,180
RMGR,RMGL,flp-21,npr-1,180,179
RMGR,RMGR,flp-21,npr-1,180,180
RMGL,SAADL,flp-21,npr-1,179,103
RMGR,SAADL,flp-21,npr-1,180,103
RMGL,SAADR,flp-21,npr-1,179,104
RMGR,SAADR,flp-21,npr-1,180,104
RMGL,SDQL,flp-21,npr-1,179,246
RMGL,SDQR,flp-21,npr-1,179,199
RMGR,SDQL,flp-21,npr-1,180,246
RMGR,SDQR,flp-21,npr-1,180,199
RMGL,SMBDL,flp-21,npr-1,179,132
RMGR,SMBDL,flp-21,npr-1,180,132
RMGL,SMBDR,flp-21,npr-1,179,153
RMGR,SMBDR,flp-21,npr-1,180,153
RMGL,URXL,flp-21,npr-1,179,66
RMGL,URXR,flp-21,npr-1,179,82
RMGR,URXL,flp-21,npr-1,180,66
RMGR,URXR,flp-21,npr-1,180,82
RMGL,VD01,flp-21,npr-1,179,188
RMGL,VD10,flp-21,npr-1,179,256
RMGL,VD11,flp-21,npr-1,179,262
RMGL,VD12,flp-21,npr-1,179,267
RMGL,VD13,flp-21,npr-1,179,274
RMGL,VD02,flp-21,npr-1,179,189
RMGL,VD03,flp-21,npr-1,179,198
RMGL,VD04,flp-21,npr-1,179,204
RMGL,VD05,flp-21,npr-1,179,211
RMGL,VD06,flp-21,npr-1,179,221
RMGL,VD07,flp-21,npr-1,179,226
RMGL,VD08,flp-21,npr-1,179,237
RMGL,VD09,flp-21,npr-1,179,247
RMGR,VD01,flp-21,npr-1,180,188
RMGR,VD10,flp-21,npr-1,180,256
RMGR,VD11,flp-21,npr-1,180,262
RMGR,VD12,flp-21,npr-1,180,267
RMGR,VD13,flp-21,npr-1,180,274
RMGR,VD02,flp-21,npr-1,180,189
RMGR,VD03,flp-21,npr-1,180,198
RMGR,VD04,flp-21,npr-1,180,204
RMGR,VD05,flp-21,npr-1,180,211
RMGR,VD06,flp-21,npr-1,180,221
RMGR,VD07,flp-21,npr-1,180,226
RMGR,VD08,flp-21,npr-1,180,237
RMGR,VD09,flp-21,npr-1,180,247
RMGL,AIAL,flp-21,npr-11,179,109
RMGL,AIAR,flp-21,npr-11,179,134
RMGR,AIAL,flp-21,npr-11,180,109
RMGR,AIAR,flp-21,npr-11,180,134
RMGL,AIYL,flp-21,npr-11,179,157
RMGL,AIYR,flp-21,npr-11,179,154
RMGR,AIYL,flp-21,npr-11,180,157
RMGR,AIYR,flp-21,npr-11,180,154
RMGL,ADFL,flp-21,npr-2,179,67
RMGL,ADFR,flp-21,npr-2,179,83
RMGR,ADFL,flp-21,npr-2,180,67
RMGR,ADFR,flp-21,npr-2,180,83
RMGL,AIZL,flp-21,npr-2,179,148
RMGL,AIZR,flp-21,npr-2,179,149
RMGR,AIZL,flp-21,npr-2,180,148
RMGR,AIZR,flp-21,npr-2,180,149
RMGL,ASHL,flp-21,npr-2,179,89
RMGL,ASHR,flp-21,npr-2,179,90
RMGR,ASHL,flp-21,npr-2,180,89
RMGR,ASHR,flp-21,npr-2,180,90
RMGL,FLPL,flp-21,npr-2,179,164
RMGL,FLPR,flp-21,npr-2,179,165
RMGR,FLPL,flp-21,npr-2,180,164
RMGR,FLPR,flp-21,npr-2,180,165
RMGL,OLQDL,flp-21,npr-2,179,36
RMGL,OLQDR,flp-21,npr-2,179,43
RMGL,OLQVL,flp-21,npr-2,179,44
RMGL,OLQVR,flp-21,npr-2,179,54
RMGR,OLQDL,flp-21,npr-2,180,36
RMGR,OLQDR,flp-21,npr-2,180,43
RMGR,OLQVL,flp-21,npr-2,180,44
RMGR,OLQVR,flp-21,npr-2,180,54
RMGL,PVDL,flp-21,npr-2,179,249
RMGL,PVDR,flp-21,npr-2,179,250
RMGR,PVDL,flp-21,npr-2,180,249
RMGR,PVDR,flp-21,npr-2,180,250
RMGL,PVQL,flp-21,npr-2,179,292
RMGL,PVQR,flp-21,npr-2,179,280
RMGR,PVQL,flp-21,npr-2,180,292
RMGR,PVQR,flp-21,npr-2,180,280
RMGL,SABD,flp-21,npr-2,179,182
RMGL,SABVL,flp-21,npr-2,179,166
RMGL,SABVR,flp-21,npr-2,179,167
RMGR,SABD,flp-21,npr-2,180,182
RMGR,SABVL,flp-21,npr-2,180,166
RMGR,SABVR,flp-21,npr-2,180,167
RMGL,ADFL,flp-21,npr-5,179,67
RMGL,ADFR,flp-21,npr-5,179,83
RMGR,ADFL,flp-21,npr-5,180,67
RMGR,ADFR,flp-21,npr-5,180,83
RMGL,AIAL,flp-21,npr-5,179,109
RMGL,AIAR,flp-21,npr-5,179,134
RMGR,AIAL,flp-21,npr-5,180,109
RMGR,AIAR,flp-21,npr-5,180,134
RMGL,ASEL,flp-21,npr-5,179,111
RMGL,ASER,flp-21,npr-5,179,112
RMGR,ASEL,flp-21,npr-5,180,111
RMGR,ASER,flp-21,npr-5,180,112
RMGL,ASGL,flp-21,npr-5,179,87
RMGL,ASGR,flp-21,npr-5,179,88
RMGR,ASGL,flp-21,npr-5,180,87
RMGR,ASGR,flp-21,npr-5,180,88
RMGL,ASIL,flp-21,npr-5,179,91
RMGL,ASIR,flp-21,npr-5,179,113
RMGR,ASIL,flp-21,npr-5,180,91
RMGR,ASIR,flp-21,npr-5,180,113
RMGL,ASJL,flp-21,npr-5,179,137
RMGL,ASJR,flp-21,npr-5,179,138
RMGR,ASJL,flp-21,npr-5,180,137
